"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Percent of People Who Drove to Work","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","ptranmv","TimeFrame","GeoVintage","Source","Location"
"Block Group","040019443021","AZ","040019443021","=""040019443021""","75.74","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019443022","AZ","040019443022","=""040019443022""","89.18","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449011","AZ","040019449011","=""040019449011""","78.35","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449012","AZ","040019449012","=""040019449012""","79.37","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449013","AZ","040019449013","=""040019449013""","82.58","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449014","AZ","040019449014","=""040019449014""","86.90","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449021","AZ","040019449021","=""040019449021""","88.51","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449022","AZ","040019449022","=""040019449022""","83.57","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449023","AZ","040019449023","=""040019449023""","92.41","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019449024","AZ","040019449024","=""040019449024""","82.23","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019450011","AZ","040019450011","=""040019450011""","92.29","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019450012","AZ","040019450012","=""040019450012""","91.96","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019450013","AZ","040019450013","=""040019450013""","94.70","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019450014","AZ","040019450014","=""040019450014""","67.75","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019450021","AZ","040019450021","=""040019450021""","90.26","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019450022","AZ","040019450022","=""040019450022""","100.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019450023","AZ","040019450023","=""040019450023""","89.14","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019451001","AZ","040019451001","=""040019451001""","80.42","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019451002","AZ","040019451002","=""040019451002""","90.98","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019702011","AZ","040019702011","=""040019702011""","66.28","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019702012","AZ","040019702012","=""040019702012""","73.66","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019702021","AZ","040019702021","=""040019702021""","75.43","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019702022","AZ","040019702022","=""040019702022""","100.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019702023","AZ","040019702023","=""040019702023""","100.00","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019703001","AZ","040019703001","=""040019703001""","80.45","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019703002","AZ","040019703002","=""040019703002""","59.54","2019-2023","2022","Census","Arizona (State)"
"Block Group","040019703003","AZ","040019703003","=""040019703003""","100.00","2019-2023","2022","Census","Arizona (State)"
